film_name,wikidata_QID,IMDb_ID,IMDb_URL,IMDb_locations_URL,place,ncg_ID
Forces of Nature,Q40182,tt0141098,https://www.imdb.com/title/tt0141098,https://www.imdb.com/title/tt0141098/locations?ref_=tt_ql_sm,Cherokee,NCG02957
Forgiven,Q5469708,tt0444631,https://www.imdb.com/title/tt0444631,https://www.imdb.com/title/tt0444631/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Forrest Gump,Q134773,tt0109830,https://www.imdb.com/title/tt0109830,https://www.imdb.com/title/tt0109830/locations?ref_=tt_ql_sm,Biltmore Estate|Grandfather Mountain,NCG01361|NCG06059
From the Hip,Q1962468,tt0093051,https://www.imdb.com/title/tt0093051,https://www.imdb.com/title/tt0093051/locations?ref_=tt_ql_sm,Charlotte|Wilmington,NCG02916|NCG16454
George Washington,Q1406257,tt0262432,https://www.imdb.com/title/tt0262432,https://www.imdb.com/title/tt0262432/locations?ref_=tt_ql_sm,Winston-Salem|Spencer,NCG16525|NCG14340
Getting In,Q12124489,tt0109893,https://www.imdb.com/title/tt0109893,https://www.imdb.com/title/tt0109893/locations?ref_=tt_ql_sm,Durham|Raleigh|Chapel Hill,NCG04584|NCG12430|NCG02888
Goodbye Solo,Q3110707,tt1095442,https://www.imdb.com/title/tt1095442,https://www.imdb.com/title/tt1095442/locations?ref_=tt_ql_sm,Blowing Rock|Winston-Salem,NCG01533|NCG16525
Goodbye to All That,Q18703142,tt2437548,https://www.imdb.com/title/tt2437548,https://www.imdb.com/title/tt2437548/locations?ref_=tt_ql_sm,Winston-Salem,NCG16525
Great World of Sound,Q5600270,tt0826547,https://www.imdb.com/title/tt0826547,https://www.imdb.com/title/tt0826547/locations?ref_=tt_ql_sm,Charlotte,NCG02916
Halloween Kills,Q67279679,tt10665338,https://www.imdb.com/title/tt10665338,https://www.imdb.com/title/tt10665338/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Hannibal,Q722682,tt0212985,https://www.imdb.com/title/tt0212985,https://www.imdb.com/title/tt0212985/locations?ref_=tt_ql_sm,Biltmore Estate|Asheville,NCG01361|NCG00366
Happy Campers,Q3843499,tt0210094,https://www.imdb.com/title/tt0210094,https://www.imdb.com/title/tt0210094/locations?ref_=tt_ql_sm,Hendersonville,NCG06864
He Got Game,Q508410,tt0124718,https://www.imdb.com/title/tt0124718,https://www.imdb.com/title/tt0124718/locations?ref_=tt_ql_sm,Elon|Charlotte|Denton,NCG04911|NCG02916|NCG04175
Heart of the Country,Q48674141,tt2231251,https://www.imdb.com/title/tt2231251,https://www.imdb.com/title/tt2231251/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Heavyweights,Q239413,tt0110006,https://www.imdb.com/title/tt0110006,https://www.imdb.com/title/tt0110006/locations?ref_=tt_ql_sm,Hendersonville|Henderson County|Flat Rock|Asheville|Laurel Park,NCG06864|NCG06858|NCG05295|NCG00366|NCG08527
Hellraiser III: Hell on Earth,Q763024,tt0104409,https://www.imdb.com/title/tt0104409,https://www.imdb.com/title/tt0104409/locations?ref_=tt_ql_sm,Winston-Salem|High Point|Greensboro|Charlotte,NCG16525|NCG07014|NCG06266|NCG02916
Hick,Q1617244,tt1205558,https://www.imdb.com/title/tt1205558,https://www.imdb.com/title/tt1205558/locations?ref_=tt_ql_sm,Reidsville|Wilmington,NCG12651|NCG16454
Hiding Out,Q4197685,tt0093186,https://www.imdb.com/title/tt0093186,https://www.imdb.com/title/tt0093186/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Home of the Giants,Q2201952,tt0471005,https://www.imdb.com/title/tt0471005,https://www.imdb.com/title/tt0471005/locations?ref_=tt_ql_sm,Greensboro|High Point|Winston-Salem,NCG06266|NCG07014|NCG16525
Hornet's Nest,Q21531834,tt2181969,https://www.imdb.com/title/tt2181969,https://www.imdb.com/title/tt2181969/locations?ref_=tt_ql_sm,Castle Hayne|Wilmington,NCG02704|NCG16454
Hounddog,Q668765,tt0415856,https://www.imdb.com/title/tt0415856,https://www.imdb.com/title/tt0415856/locations?ref_=tt_ql_sm,Winnabow|Wilmington,NCG16515|NCG16454
House of Cards,Q1169273,tt0107148,https://www.imdb.com/title/tt0107148,https://www.imdb.com/title/tt0107148/locations?ref_=tt_ql_sm,Greensboro,NCG06266
Household Saints,Q2582667,tt0107152,https://www.imdb.com/title/tt0107152,https://www.imdb.com/title/tt0107152/locations?ref_=tt_ql_sm,Wilmington,NCG16454
I Know What You Did Last Summer,Q302174,tt0119345,https://www.imdb.com/title/tt0119345,https://www.imdb.com/title/tt0119345/locations?ref_=tt_ql_sm,Southport|Durham|Burgaw|Currie|Wilmington,NCG14304|NCG04584|NCG02179|NCG03892|NCG16454
Idlewild,Q644250,tt0417225,https://www.imdb.com/title/tt0417225,https://www.imdb.com/title/tt0417225/locations?ref_=tt_ql_sm,Winnabow|Burgaw|Wilmington,NCG16515|NCG02179|NCG16454
If You Build It,Q18150985,tt2322482,https://www.imdb.com/title/tt2322482,https://www.imdb.com/title/tt2322482/locations?ref_=tt_ql_sm,Windsor,NCG16501
Iron Man 3,Q209538,tt1300854,https://www.imdb.com/title/tt1300854,https://www.imdb.com/title/tt1300854/locations?ref_=tt_ql_sm,Kenansville|Wilmington|Rose Hill|Cary|Currie|Oak Island,NCG08148|NCG16454|NCG13093|NCG02669|NCG03892|NCG11051
Jackass Presents: Bad Grandpa,Q14407638,tt3063516,https://www.imdb.com/title/tt3063516,https://www.imdb.com/title/tt3063516/locations?ref_=tt_ql_sm,Charlotte|Belmont|Garner|Gastonia|Chapel Hill,NCG02916|NCG01045|NCG05710|NCG05736|NCG02888
Jessabelle,Q6186046,tt2300975,https://www.imdb.com/title/tt2300975,https://www.imdb.com/title/tt2300975/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Jimmy,Q17111828,tt1376205,https://www.imdb.com/title/tt1376205,https://www.imdb.com/title/tt1376205/locations?ref_=tt_ql_sm,Charlotte|Concord,NCG02916|NCG03409
Journey 2: The Mysterious Island,Q211545,tt1397514,https://www.imdb.com/title/tt1397514,https://www.imdb.com/title/tt1397514/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Junebug,Q565009,tt0418773,https://www.imdb.com/title/tt0418773,https://www.imdb.com/title/tt0418773/locations?ref_=tt_ql_sm,Winston-Salem,NCG16525
Juwanna Mann,Q3282532,tt0247444,https://www.imdb.com/title/tt0247444,https://www.imdb.com/title/tt0247444/locations?ref_=tt_ql_sm,Charlotte,NCG02916
Killers Three,Q6407594,tt0063184,https://www.imdb.com/title/tt0063184,https://www.imdb.com/title/tt0063184/locations?ref_=tt_ql_sm,Liberty|Ramseur|Randolph County|Coleridge,NCG08712|NCG12442|NCG12458|NCG03341
King Kong Lives,Q127421,tt0091344,https://www.imdb.com/title/tt0091344,https://www.imdb.com/title/tt0091344/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Kiss the Girls,Q60016,tt0119468,https://www.imdb.com/title/tt0119468,https://www.imdb.com/title/tt0119468/locations?ref_=tt_ql_sm,Durham|Research Triangle Park|Chapel Hill,NCG04584|NCG12669|NCG02888
Leatherheads,Q653974,tt0379865,https://www.imdb.com/title/tt0379865,https://www.imdb.com/title/tt0379865/locations?ref_=tt_ql_sm,Winston-Salem|Spencer|Charlotte|Greensboro|Statesville|Tobaccoville|Rural Hall|Salisbury,NCG16525|NCG14340|NCG02916|NCG06266|NCG14551|NCG15223|NCG13213|NCG13279
Lemony Snicket's A Series of Unfortunate Events,Q116905,tt0339291,https://www.imdb.com/title/tt0339291,https://www.imdb.com/title/tt0339291/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Logan Lucky,Q24576050,tt5439796,https://www.imdb.com/title/tt5439796,https://www.imdb.com/title/tt5439796/locations?ref_=tt_ql_sm,Concord,NCG03409
Loggerheads,Q3025346,tt0406038,https://www.imdb.com/title/tt0406038,https://www.imdb.com/title/tt0406038/locations?ref_=tt_ql_sm,Eden|Kure Beach|Wilmington,NCG04749|NCG08323|NCG16454
Lolita,Q593877,tt0119558,https://www.imdb.com/title/tt0119558,https://www.imdb.com/title/tt0119558/locations?ref_=tt_ql_sm,Reidsville|Wilmington|Winnabow,NCG12651|NCG16454|NCG16515
Lost Highway,Q289204,tt0116922,https://www.imdb.com/title/tt0116922,https://www.imdb.com/title/tt0116922/locations?ref_=tt_ql_sm,Chapel Hill,NCG02888
Love Field,Q2291957,tt0104765,https://www.imdb.com/title/tt0104765,https://www.imdb.com/title/tt0104765/locations?ref_=tt_ql_sm,Wilson|Rocky Mount,NCG16459|NCG13021
Love for Sale,Q6691776,tt1172996,https://www.imdb.com/title/tt1172996,https://www.imdb.com/title/tt1172996/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Main Street,Q1660478,tt1365483,https://www.imdb.com/title/tt1365483,https://www.imdb.com/title/tt1365483/locations?ref_=tt_ql_sm,Durham,NCG04584
Mandie and the Secret Tunnel,Q11767006,tt1132286,https://www.imdb.com/title/tt1132286,https://www.imdb.com/title/tt1132286/locations?ref_=tt_ql_sm,Blue Ridge Parkway|Reidsville|Maggie Valley|Blowing Rock,NCG01546|NCG12651|NCG09489|NCG01533
Manhunter,Q886719,tt0091474,https://www.imdb.com/title/tt0091474,https://www.imdb.com/title/tt0091474/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Marie,Q3292334,tt0089555,https://www.imdb.com/title/tt0089555,https://www.imdb.com/title/tt0089555/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Masterminds,Q18151901,tt2461150,https://www.imdb.com/title/tt2461150,https://www.imdb.com/title/tt2461150/locations?ref_=tt_ql_sm,Asheville|Franklin|Waynesville|Swannanoa|Old Fort|Cramerton,NCG00366|NCG05527|NCG15996|NCG14884|NCG11158|NCG03728
Max,Q18152555,tt3369806,https://www.imdb.com/title/tt3369806,https://www.imdb.com/title/tt3369806/locations?ref_=tt_ql_sm,Charlotte|Kings Mountain|Faith|Asheville|Lincolnton,NCG02916|NCG08239|NCG05087|NCG00366|NCG08775
Max Steel,Q17068577,tt1472584,https://www.imdb.com/title/tt1472584,https://www.imdb.com/title/tt1472584/locations?ref_=tt_ql_sm,Wilmington|Castle Hayne,NCG16454|NCG02704
Maximum Overdrive,Q46637,tt0091499,https://www.imdb.com/title/tt0091499,https://www.imdb.com/title/tt0091499/locations?ref_=tt_ql_sm,Wilmington|Supply|Leland,NCG16454|NCG14846|NCG08643
Message in a Bottle,Q49021,tt0139462,https://www.imdb.com/title/tt0139462,https://www.imdb.com/title/tt0139462/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Morgan's Ferry,Q6911515,tt0170260,https://www.imdb.com/title/tt0170260,https://www.imdb.com/title/tt0170260/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Mr. Destiny,Q1951422,tt0100201,https://www.imdb.com/title/tt0100201,https://www.imdb.com/title/tt0100201/locations?ref_=tt_ql_sm,Biltmore Estate|Winston-Salem|Buena Vista,NCG01361|NCG16525|NCG02088
Muppets from Space,Q1458649,tt0158811,https://www.imdb.com/title/tt0158811,https://www.imdb.com/title/tt0158811/locations?ref_=tt_ql_sm,Wilmington|Castle Hayne|Kure Beach,NCG16454|NCG02704|NCG08323
Murder in New Hampshire: The Pamela Wojas Smart Story,Q1947363,tt0102484,https://www.imdb.com/title/tt0102484,https://www.imdb.com/title/tt0102484/locations?ref_=tt_ql_sm,Charlotte,NCG02916
My Fellow Americans,Q1305069,tt0117119,https://www.imdb.com/title/tt0117119,https://www.imdb.com/title/tt0117119/locations?ref_=tt_ql_sm,Biltmore Estate|Black Mountain|Asheville|Dillsboro|Marshall|Waynesville,NCG01361|NCG01420|NCG00366|NCG04276|NCG09632|NCG15996
It Runs in the Family,Q1593107,tt0110168,https://www.imdb.com/title/tt0110168,https://www.imdb.com/title/tt0110168/locations?ref_=tt_ql_sm,Wilmington,NCG16454
National Lampoon's Pucked,Q6973977,tt0407038,https://www.imdb.com/title/tt0407038,https://www.imdb.com/title/tt0407038/locations?ref_=tt_ql_sm,Greensboro|Lexington|Winston-Salem,NCG06266|NCG08709|NCG16525
Nell,Q612323,tt0110638,https://www.imdb.com/title/tt0110638,https://www.imdb.com/title/tt0110638/locations?ref_=tt_ql_sm,Fontana Lake|Robbinsville|Nantahala National Forest|Cheoah Ranger District|Charlotte|Franklin,NCG05376|NCG12896|NCG10630|NCG02916|NCG05527
New Best Friend,Q7005527,tt0191074,https://www.imdb.com/title/tt0191074,https://www.imdb.com/title/tt0191074/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Nights in Rodanthe,Q287385,tt0956038,https://www.imdb.com/title/tt0956038,https://www.imdb.com/title/tt0956038/locations?ref_=tt_ql_sm,Outer Banks|Southport|Wilmington|Topsail Beach|Carolina Beach,NCG11317|NCG14304|NCG16454|NCG15281|NCG02590
No Mercy,Q1533060,tt0091637,https://www.imdb.com/title/tt0091637,https://www.imdb.com/title/tt0091637/locations?ref_=tt_ql_sm,Wilmington|Washington,NCG16454|NCG15916
Once Around,Q1305427,tt0102590,https://www.imdb.com/title/tt0102590,https://www.imdb.com/title/tt0102590/locations?ref_=tt_ql_sm,Durham|Raleigh,NCG04584|NCG12430
Once Upon a Time...When We Were Colored,Q7091836,tt0114039,https://www.imdb.com/title/tt0114039,https://www.imdb.com/title/tt0114039/locations?ref_=tt_ql_sm,Wilmington,NCG16454
One & Two,Q20735599,tt3975510,https://www.imdb.com/title/tt3975510,https://www.imdb.com/title/tt3975510/locations?ref_=tt_ql_sm,Wilmington,NCG16454
One Christmas,Q7092525,tt0110732,https://www.imdb.com/title/tt0110732,https://www.imdb.com/title/tt0110732/locations?ref_=tt_ql_sm,Wilmington,NCG16454
One True Loves,Q108907392,tt14770620,https://www.imdb.com/title/tt14770620,https://www.imdb.com/title/tt14770620/locations?ref_=tt_ql_sm,Wilmington,NCG16454
The Order of the Black Eagle,Q7755312,tt0199912,https://www.imdb.com/title/tt0199912,https://www.imdb.com/title/tt0199912/locations?ref_=tt_ql_sm,Shelby,NCG13724
Paper Towns,Q18603039,tt3622592,https://www.imdb.com/title/tt3622592,https://www.imdb.com/title/tt3622592/locations?ref_=tt_ql_sm,Concord|Kannapolis|Mooresville|Denver,NCG03409|NCG08089|NCG10334|NCG04178
Patch Adams,Q782822,tt0129290,https://www.imdb.com/title/tt0129290,https://www.imdb.com/title/tt0129290/locations?ref_=tt_ql_sm,Biltmore Estate|Asheville|Chapel Hill,NCG01361|NCG00366|NCG02888
Pepsi MAX & Jeff Gordon Present: Test Drive,Q16254077,tt5511226,https://www.imdb.com/title/tt5511226,https://www.imdb.com/title/tt5511226/locations?ref_=tt_ql_sm,Charlotte,NCG02916
Piranha 3DD,Q328208,tt1714203,https://www.imdb.com/title/tt1714203,https://www.imdb.com/title/tt1714203/locations?ref_=tt_ql_sm,Wilmington|Kure Beach,NCG16454|NCG08323
Praise Band: The Movie,Q16254251,tt1071821,https://www.imdb.com/title/tt1071821,https://www.imdb.com/title/tt1071821/locations?ref_=tt_ql_sm,Charlotte|Lake Park|Waxhaw,NCG02916|NCG08385|NCG15984
Radioland Murders,Q1741078,tt0110939,https://www.imdb.com/title/tt0110939,https://www.imdb.com/title/tt0110939/locations?ref_=tt_ql_sm,Wilmington|Castle Hayne,NCG16454|NCG02704
Rambling Rose,Q1214679,tt0102753,https://www.imdb.com/title/tt0102753,https://www.imdb.com/title/tt0102753/locations?ref_=tt_ql_sm,Ivanhoe|Wilmington,NCG07693|NCG16454
Raw Deal,Q261601,tt0091828,https://www.imdb.com/title/tt0091828,https://www.imdb.com/title/tt0091828/locations?ref_=tt_ql_sm,Castle Hayne|Wilmington,NCG02704|NCG16454
Red Dirt Rising,Q16984034,tt1103274,https://www.imdb.com/title/tt1103274,https://www.imdb.com/title/tt1103274/locations?ref_=tt_ql_sm,Archdale|Trinity,NCG00300|NCG15377
Religulous,Q591709,tt0815241,https://www.imdb.com/title/tt0815241,https://www.imdb.com/title/tt0815241/locations?ref_=tt_ql_sm,Charlotte|Raleigh,NCG02916|NCG12430
Remember the Daze,Q2415155,tt0790618,https://www.imdb.com/title/tt0790618,https://www.imdb.com/title/tt0790618/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Richie Rich,Q506394,tt0110989,https://www.imdb.com/title/tt0110989,https://www.imdb.com/title/tt0110989/locations?ref_=tt_ql_sm,Biltmore Estate|Charlotte,NCG01361|NCG02916
Road to Nowhere,Q3434096,tt1504319,https://www.imdb.com/title/tt1504319,https://www.imdb.com/title/tt1504319/locations?ref_=tt_ql_sm,Waynesville|Maggie Valley,NCG15996|NCG09489
Safe Haven,Q1767513,tt1702439,https://www.imdb.com/title/tt1702439,https://www.imdb.com/title/tt1702439/locations?ref_=tt_ql_sm,Southport|Wilmington|Southport|Kure Beach,NCG14304|NCG16454|NCG14304|NCG08323
Shadrach,Q1826076,tt0144604,https://www.imdb.com/title/tt0144604,https://www.imdb.com/title/tt0144604/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Shallow Hal,Q1140935,tt0256380,https://www.imdb.com/title/tt0256380,https://www.imdb.com/title/tt0256380/locations?ref_=tt_ql_sm,Charlotte|Concord,NCG02916|NCG03409
Silver Bullet,Q1198033,tt0090021,https://www.imdb.com/title/tt0090021,https://www.imdb.com/title/tt0090021/locations?ref_=tt_ql_sm,Burgaw|Wilmington|Leland|Castle Hayne,NCG02179|NCG16454|NCG08643|NCG02704
Sleeping with the Enemy,Q1193347,tt0102945,https://www.imdb.com/title/tt0102945,https://www.imdb.com/title/tt0102945/locations?ref_=tt_ql_sm,Wrightsville Beach|Kure Beach,NCG16691|NCG08323
Songcatcher,Q1298217,tt0210299,https://www.imdb.com/title/tt0210299,https://www.imdb.com/title/tt0210299/locations?ref_=tt_ql_sm,Asheville,NCG00366
Southern Belles,Q7569675,tt0423238,https://www.imdb.com/title/tt0423238,https://www.imdb.com/title/tt0423238/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Speedway,Q605374,tt0063634,https://www.imdb.com/title/tt0063634,https://www.imdb.com/title/tt0063634/locations?ref_=tt_ql_sm,Concord,NCG03409
Stark Love,Q2519621,tt0018446,https://www.imdb.com/title/tt0018446,https://www.imdb.com/title/tt0018446/locations?ref_=tt_ql_sm,Great Smoky Mountains,NCG06199
Stroker Ace,Q655487,tt0086379,https://www.imdb.com/title/tt0086379,https://www.imdb.com/title/tt0086379/locations?ref_=tt_ql_sm,Charlotte,NCG02916
Stroszek,Q587566,tt0075276,https://www.imdb.com/title/tt0075276,https://www.imdb.com/title/tt0075276/locations?ref_=tt_ql_sm,Cherokee,NCG02957
Stuck in Love,Q4363611,tt2205697,https://www.imdb.com/title/tt2205697,https://www.imdb.com/title/tt2205697/locations?ref_=tt_ql_sm,Wrightsville Beach|Wilmington,NCG16691|NCG16454
Stuck in Love,Q4363611,tt2205697,https://www.imdb.com/title/tt2205697,https://www.imdb.com/title/tt2205697/locations?ref_=tt_ql_sm,Wrightsville Beach|Wilmington,NCG16691|NCG16454
